fruit,class_pair,enabled,reason,feature_group,laws_enriched,selected_texture_count,selected_laws_count,selected_texture_features,base_confidence_threshold,texture_confidence_threshold,texture_alpha,cv_helpful,cv_harmful,cv_net_gain,cv_changed,correction_precision,positive_folds,v8_cv_net_gain,v8_cv_harmful,total_effective_feature_count
Grape,Rotten|Unripe,True,preserved_v8_rule,all_texture,False,32,0,lg_gabor_l8_0_a90_p90_abs;lg_gabor_l4_0_a45_std;lg_gabor_l8_0_a135_p90_abs;lg_gabor_l8_0_a45_mean_abs;lg_gabor_l4_0_a135_std;lg_gabor_l4_0_a90_mean_abs;lg_local_roi_patch_coverage_mean;lg_gabor_l4_0_a90_std;lg_gabor_l4_0_a45_mean_abs;lg_gabor_l4_0_a135_energy;enh_glcm_d2_entropy_dir_std;enh_glcm_d3_dissimilarity_mean;enh_lbp_p16r2_bin_5;lg_local_glcm_homogeneity_patch_mean_p90;enh_glcm_d2_contrast_dir_std;enh_glcm_d3_dissimilarity_dir_std;lg_local_roi_patch_coverage_p90;enh_lbp_p16r2_bin_3;enh_lbp_p8r1_bin_2;enh_glcm_d3_homogeneity_dir_std;enh_glcm_d1_variance_dir_std;enh_lbp_p8r1_bin_3;lg_gabor_orientation_energy_mean;enh_lbp_p8r1_bin_9;enh_glcm_d1_entropy_dir_std;lg_local_glcm_entropy_patch_mean_max;enh_lbp_p16r2_bin_0;enh_lbp_p16r2_bin_2;enh_glcm_d3_entropy_mean;lg_local_lbp_p16r2_dominant_std;lg_local_lbp_p16r2_dominant_p90;enh_glcm_d3_correlation_dir_std,0.34,0.24,0.5,5.0,1.0,4.0,6.0,0.8333333333333334,2.0,4.0,1.0,123
Guava,Class_A|Class_B,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Guava,Class_A|Defect,True,preserved_v8_rule,local_heterogeneity,False,12,0,lg_local_glcm_variance_patch_mean_mean;lg_local_glcm_variance_patch_mean_p90;lg_local_glcm_variance_patch_mean_max;lg_local_glcm_entropy_patch_mean_max;lg_local_glcm_entropy_patch_mean_p90;lg_local_glcm_homogeneity_patch_mean_mean;lg_local_glcm_homogeneity_patch_mean_std;lg_local_glcm_entropy_patch_mean_mean;lg_local_glcm_variance_patch_dir_std_mean;lg_local_glcm_contrast_patch_mean_p90;lg_local_glcm_homogeneity_patch_dir_std_p90;lg_local_glcm_entropy_patch_dir_std_std,0.24,0.24,0.5,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,103
Guava,Class_B|Defect,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Mango,Overripe|Ripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Mango,Overripe|Rotten,True,laws_strictly_improved_v8_rule,gabor_plus_laws,True,20,6,laws_e5w5_energy;laws_e5s5_energy;laws_l5s5_energy;laws_w5w5_energy;lg_gabor_l4_0_a90_std;lg_gabor_l4_0_a0_std;lg_gabor_l8_0_a135_std;laws_l5e5_energy;lg_gabor_l4_0_a45_std;lg_gabor_l8_0_a90_p90_abs;lg_gabor_orientation_energy_mean;lg_gabor_l8_0_a0_p90_abs;lg_gabor_orientation_energy_std;laws_l5w5_energy;lg_gabor_l4_0_a0_energy;lg_gabor_l8_0_a45_energy;lg_gabor_l4_0_a90_p90_abs;lg_gabor_l4_0_a0_p90_abs;lg_gabor_anisotropy;lg_gabor_l8_0_a135_mean_abs,0.05,0.24,0.5,10.0,2.0,8.0,13.0,0.8333333333333334,3.0,7.0,2.0,111
Mango,Overripe|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Mango,Ripe|Rotten,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Mango,Ripe|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Mango,Rotten|Unripe,True,preserved_v8_rule,global_multiscale,False,20,0,enh_lbp_p16r2_bin_13;enh_lbp_p8r1_bin_7;enh_lbp_p16r2_bin_14;enh_lbp_p16r2_bin_11;enh_lbp_p16r2_bin_variance;enh_glcm_d1_homogeneity_dir_std;enh_glcm_d3_variance_mean;enh_lbp_p16r2_bin_3;enh_glcm_d3_entropy_mean;enh_glcm_d3_dissimilarity_dir_std;enh_glcm_d1_correlation_mean;enh_lbp_p16r2_entropy;enh_glcm_d3_contrast_dir_std;enh_lbp_p8r1_bin_variance;enh_glcm_d3_contrast_mean;enh_lbp_p16r2_bin_8;enh_lbp_p8r1_bin_2;enh_lbp_p16r2_bin_9;enh_glcm_d2_asm_dir_std;enh_lbp_p8r1_bin_5,0.45,0.24,0.5,8.0,0.0,8.0,8.0,1.0,2.0,8.0,0.0,111
Melon,Overripe|Ripe,True,preserved_v8_rule,local_heterogeneity,False,8,0,lg_local_lbp_p8r1_entropy_max;lg_local_lbp_p16r2_entropy_max;lg_local_lbp_p16r2_bin_variance_mean;lg_local_lbp_p8r1_bin_variance_max;lg_local_glcm_energy_patch_dir_std_mean;lg_local_lbp_p8r1_entropy_mean;lg_local_lbp_p16r2_entropy_mean;lg_local_glcm_entropy_patch_dir_std_p90,0.24,0.24,0.5,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,99
Melon,Overripe|Rotten,True,laws_enabled_new_validated_pair,local_heterogeneity_plus_laws,True,20,3,lg_local_glcm_homogeneity_patch_mean_p90;lg_local_glcm_entropy_patch_mean_mean;lg_local_glcm_homogeneity_patch_mean_mean;lg_local_glcm_variance_patch_mean_mean;lg_local_glcm_homogeneity_patch_dir_std_mean;lg_local_glcm_entropy_patch_mean_p90;laws_l5r5_energy;lg_local_glcm_contrast_patch_mean_mean;lg_local_glcm_entropy_patch_dir_std_p90;laws_l5w5_energy;lg_local_glcm_energy_patch_mean_mean;laws_r5r5_energy;lg_local_glcm_entropy_patch_mean_max;lg_local_glcm_homogeneity_patch_dir_std_p90;lg_local_glcm_entropy_patch_dir_std_max;lg_local_lbp_p16r2_bin_variance_std;lg_local_lbp_p8r1_dominant_p90;lg_local_glcm_variance_patch_dir_std_max;lg_local_glcm_variance_patch_dir_std_mean;lg_local_lbp_p8r1_dominant_mean,0.16,0.24,0.9,5.0,2.0,3.0,9.0,0.7142857142857143,2.0,3.0,3.0,111
Melon,Overripe|Unripe,True,laws_strictly_improved_v8_rule,all_texture_plus_laws,True,32,2,enh_lbp_p16r2_bin_6;enh_glcm_d3_variance_mean;enh_lbp_p16r2_bin_15;enh_glcm_d1_energy_mean;lg_local_glcm_entropy_patch_dir_std_mean;lg_local_glcm_homogeneity_patch_dir_std_max;enh_glcm_d3_correlation_dir_std;lg_local_glcm_homogeneity_patch_dir_std_p90;lg_gabor_anisotropy;enh_glcm_d2_correlation_dir_std;lg_local_glcm_entropy_patch_dir_std_max;lg_local_glcm_entropy_patch_dir_std_p90;enh_glcm_d2_asm_dir_std;lg_gabor_l4_0_a135_mean_abs;lg_local_glcm_entropy_patch_mean_max;enh_lbp_p8r1_bin_7;enh_lbp_p16r2_bin_13;lg_local_glcm_variance_patch_dir_std_p90;lg_local_glcm_energy_patch_mean_p90;lg_local_lbp_p8r1_bin_variance_mean;lg_local_glcm_energy_patch_dir_std_mean;enh_lbp_p8r1_bin_8;lg_local_glcm_variance_patch_dir_std_std;lg_local_glcm_variance_patch_mean_max;enh_lbp_p16r2_bin_5;laws_l5r5_energy;enh_lbp_p16r2_bin_11;laws_w5w5_energy;lg_local_glcm_energy_patch_dir_std_max;lg_local_glcm_homogeneity_patch_dir_std_std;enh_lbp_p16r2_bin_7;lg_local_roi_patch_coverage_std,0.34,0.24,0.5,4.0,0.0,4.0,5.0,1.0,2.0,3.0,0.0,123
Melon,Ripe|Rotten,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Melon,Ripe|Unripe,True,laws_enabled_new_validated_pair,all_texture_plus_laws,True,32,5,laws_s5r5_energy;enh_lbp_p8r1_bin_5;laws_bank_mean_energy;enh_lbp_p16r2_bin_5;enh_lbp_p8r1_entropy;enh_lbp_p8r1_bin_variance;lg_gabor_l4_0_a90_std;laws_r5r5_energy;enh_lbp_p8r1_bin_2;laws_l5w5_energy;lg_local_glcm_entropy_patch_mean_max;enh_lbp_p16r2_bin_10;enh_lbp_p16r2_bin_8;lg_local_glcm_homogeneity_patch_mean_p90;lg_local_lbp_p16r2_entropy_p90;enh_lbp_p16r2_bin_6;lg_gabor_l4_0_a45_std;lg_gabor_l4_0_a0_std;enh_lbp_p16r2_bin_3;enh_lbp_p16r2_bin_7;enh_glcm_d1_entropy_mean;enh_glcm_d2_asm_dir_std;lg_local_glcm_contrast_patch_dir_std_mean;lg_gabor_l8_0_a90_std;enh_lbp_p16r2_entropy;enh_glcm_d3_energy_dir_std;laws_e5e5_energy;enh_glcm_d2_energy_dir_std;lg_local_lbp_p8r1_energy_mean;lg_gabor_l4_0_a90_p90_abs;lg_local_glcm_contrast_patch_dir_std_max;lg_local_glcm_variance_patch_dir_std_mean,0.1,0.24,0.5,4.0,0.0,4.0,4.0,1.0,2.0,-1.0,5.0,123
Melon,Rotten|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Orange,Overripe|Ripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Orange,Overripe|Rotten,True,preserved_v8_rule,local_heterogeneity,False,12,0,lg_local_lbp_p8r1_dominant_max;lg_local_lbp_p16r2_entropy_mean;lg_local_lbp_p8r1_entropy_mean;lg_local_lbp_p16r2_entropy_std;lg_local_glcm_entropy_patch_mean_std;lg_local_glcm_homogeneity_patch_mean_p90;lg_local_lbp_p16r2_entropy_p90;lg_local_glcm_variance_patch_dir_std_p90;lg_local_lbp_p16r2_bin_variance_mean;lg_local_glcm_energy_patch_mean_std;lg_local_glcm_energy_patch_mean_p90;lg_local_roi_patch_coverage_max,0.1,0.24,0.5,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,103
Orange,Overripe|Unripe,True,preserved_v8_rule,local_heterogeneity,False,32,0,lg_local_glcm_entropy_patch_dir_std_mean;lg_local_glcm_entropy_patch_mean_std;lg_local_lbp_p8r1_dominant_max;lg_local_glcm_entropy_patch_dir_std_p90;lg_local_glcm_variance_patch_dir_std_mean;lg_local_glcm_entropy_patch_dir_std_max;lg_local_lbp_p8r1_energy_p90;lg_local_lbp_p8r1_bin_variance_std;lg_local_glcm_energy_patch_mean_max;lg_local_glcm_energy_patch_mean_mean;lg_local_lbp_p16r2_bin_variance_max;lg_local_glcm_variance_patch_dir_std_max;lg_local_lbp_p8r1_bin_variance_max;lg_local_lbp_p16r2_entropy_std;lg_local_glcm_homogeneity_patch_dir_std_mean;lg_local_glcm_contrast_patch_dir_std_p90;lg_local_glcm_homogeneity_patch_mean_p90;lg_local_lbp_p8r1_bin_variance_p90;lg_local_lbp_p8r1_entropy_p90;lg_local_glcm_contrast_patch_dir_std_max;lg_local_glcm_contrast_patch_mean_mean;lg_local_lbp_p16r2_entropy_mean;lg_local_roi_patch_coverage_mean;lg_local_glcm_variance_patch_mean_mean;lg_local_lbp_p16r2_bin_variance_mean;lg_local_glcm_energy_patch_dir_std_mean;lg_local_glcm_homogeneity_patch_mean_std;lg_local_glcm_homogeneity_patch_mean_mean;lg_local_roi_patch_coverage_max;lg_local_lbp_p16r2_bin_variance_std;lg_local_glcm_entropy_patch_mean_max;lg_local_glcm_homogeneity_patch_dir_std_std,0.1,0.24,0.9,6.0,0.0,6.0,7.0,1.0,3.0,6.0,0.0,123
Orange,Ripe|Rotten,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Orange,Ripe|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Orange,Rotten|Unripe,True,preserved_v8_rule,gabor,False,4,0,lg_gabor_l4_0_a0_energy;lg_gabor_l8_0_a0_mean_abs;lg_gabor_l4_0_a0_mean_abs;lg_gabor_l4_0_a0_p90_abs,0.16,0.24,0.5,3.0,0.0,3.0,4.0,1.0,2.0,3.0,0.0,95
Peach,Overripe|Ripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Peach,Overripe|Rotten,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Peach,Overripe|Unripe,True,preserved_v8_rule,global_multiscale,False,30,0,enh_lbp_p8r1_bin_4;enh_glcm_d3_dissimilarity_mean;enh_lbp_p8r1_bin_7;enh_lbp_p16r2_bin_6;enh_glcm_d2_energy_mean;enh_glcm_d1_homogeneity_dir_std;enh_glcm_d2_contrast_dir_std;enh_lbp_p16r2_bin_15;enh_lbp_p16r2_bin_17;enh_glcm_d3_correlation_mean;enh_lbp_p16r2_bin_11;enh_glcm_d3_asm_dir_std;enh_glcm_d3_variance_mean;enh_lbp_p8r1_energy;enh_lbp_p8r1_dominant;enh_lbp_p16r2_bin_9;enh_lbp_p16r2_energy;enh_lbp_p16r2_bin_16;enh_glcm_d2_correlation_dir_std;enh_glcm_d3_entropy_dir_std;enh_lbp_p8r1_bin_5;enh_glcm_d3_variance_dir_std;enh_glcm_d1_energy_dir_std;enh_glcm_d3_correlation_dir_std;enh_glcm_d3_dissimilarity_dir_std;enh_lbp_p16r2_bin_8;enh_glcm_d1_variance_dir_std;enh_lbp_p16r2_bin_10;enh_lbp_p8r1_bin_variance;enh_lbp_p16r2_bin_13,0.45,0.24,0.5,6.0,0.0,6.0,7.0,1.0,2.0,6.0,0.0,121
Peach,Ripe|Rotten,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Peach,Ripe|Unripe,True,preserved_v8_rule,all_texture,False,20,0,lg_local_glcm_variance_patch_mean_std;enh_glcm_d1_entropy_dir_std;lg_local_glcm_entropy_patch_dir_std_max;lg_local_glcm_energy_patch_dir_std_p90;lg_local_lbp_p8r1_bin_variance_max;enh_lbp_p16r2_bin_11;lg_local_glcm_homogeneity_patch_dir_std_mean;lg_local_glcm_energy_patch_dir_std_mean;lg_local_glcm_entropy_patch_mean_p90;enh_glcm_d1_dissimilarity_dir_std;enh_lbp_p16r2_bin_13;lg_local_glcm_variance_patch_mean_mean;enh_lbp_p16r2_bin_14;lg_local_glcm_homogeneity_patch_mean_max;lg_local_glcm_homogeneity_patch_dir_std_max;enh_glcm_d3_entropy_dir_std;lg_local_glcm_energy_patch_dir_std_std;enh_lbp_p8r1_bin_7;enh_lbp_p16r2_bin_9;enh_lbp_p16r2_energy,0.34,0.24,0.5,25.0,3.0,22.0,33.0,0.8928571428571429,3.0,22.0,3.0,111
Peach,Rotten|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Pear,Overripe|Ripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Pear,Overripe|Rotten,True,laws_enabled_new_validated_pair,global_multiscale_plus_laws,True,20,5,laws_r5r5_energy;laws_l5r5_energy;laws_s5r5_energy;enh_lbp_p8r1_bin_5;enh_glcm_d1_contrast_dir_std;enh_glcm_d3_dissimilarity_dir_std;enh_glcm_d2_entropy_dir_std;enh_lbp_p16r2_bin_13;enh_glcm_d3_entropy_dir_std;enh_glcm_d1_variance_dir_std;enh_lbp_p16r2_bin_10;enh_glcm_d3_correlation_mean;enh_lbp_p8r1_bin_6;enh_glcm_d2_homogeneity_mean;enh_lbp_p16r2_bin_12;enh_lbp_p8r1_bin_variance;enh_glcm_d3_entropy_mean;enh_glcm_d2_variance_dir_std;laws_s5w5_energy;laws_bank_std_energy,0.34,0.24,0.5,18.0,8.0,10.0,29.0,0.6923076923076923,2.0,5.0,7.0,111
Pear,Overripe|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Pear,Ripe|Rotten,True,preserved_v8_rule,local_heterogeneity,False,4,0,lg_local_lbp_p8r1_entropy_mean;lg_local_lbp_p8r1_entropy_p90;lg_local_glcm_variance_patch_mean_std;lg_local_glcm_energy_patch_mean_mean,0.34,0.24,0.5,2.0,0.0,2.0,5.0,1.0,2.0,2.0,0.0,95
Pear,Ripe|Unripe,True,preserved_v8_rule,global_multiscale,False,8,0,enh_glcm_d2_energy_mean;enh_lbp_p16r2_bin_15;enh_glcm_d3_asm_dir_std;enh_lbp_p8r1_bin_8;enh_lbp_p16r2_bin_6;enh_glcm_d2_asm_dir_std;enh_lbp_p8r1_bin_6;enh_lbp_p8r1_bin_4,0.1,0.24,0.5,2.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,99
Pear,Rotten|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
